0.0006342970 0.9385400931 0.0007784926
0.0014127896 0.8682470727 0.0007784926
0.0021912822 0.8032187275 0.0007784926
0.0029697747 0.7430607536 0.0008136936
0.0037834684 0.6849928844 0.0008136936
0.0045971620 0.6314628373 0.0008136936
0.0054108556 0.5821159955 0.0008538869
0.0062647425 0.5344729077 0.0008538869
0.0071186294 0.4907291524 0.0008829437
0.0080015732 0.4492582910 0.0008829437
0.0088845169 0.4112920764 0.0009142265
0.0097987434 0.3753582721 0.0009142265
0.0107129699 0.3425639357 0.0009477665
0.0116607365 0.3115879574 0.0009477665
0.0126085030 0.2834129488 0.0009838178
0.0135923208 0.2568579595 0.0009838178
0.0145761385 0.2327910974 0.0010226698
0.0155988083 0.2101611258 0.0010226698
0.0166214781 0.1897310476 0.0010646580
0.0176861361 0.1705693119 0.0010646580
0.0187507941 0.1533428004 0.0011101732
0.0198609674 0.1372300377 0.0011101732
0.0209711406 0.1228103518 0.0011596733
0.0221308139 0.1093631500 0.0011596733
0.0232904871 0.0973883586 0.0012136978
0.0245041850 0.0862574918 0.0012136978
0.0257178828 0.0763988119 0.0012728878
0.0269907705 0.0672675794 0.0012728878
0.0282636583 0.0592277173 0.0013380094
0.0296016677 0.0518102865 0.0013380094
0.0309396772 0.0453217836 0.0014099869
0.0323496640 0.0393615376 0.0014099869
0.0337596509 0.0341851207 0.0014899440
0.0352495949 0.0294530103 0.0014899440
0.0367395389 0.0253759471 0.0015792614
0.0383188003 0.0216688485 0.0015792614
0.0398980617 0.0185033092 0.0016796528
0.0415777145 0.0156423876 0.0016796528
0.0432573673 0.0132238125 0.0017932712
0.0450506385 0.0110528926 0.0018551150
0.0469057535 0.0091814100 0.0019231836
0.0488289371 0.0075750698 0.0019962514
0.0508251885 0.0062042691 0.0020749463
0.0529001348 0.0050416994 0.0021599306
0.0550600654 0.0040623045 0.0022519758
0.0573120412 0.0032431762 0.0023519828
0.0596640239 0.0025634533 0.0024610104
0.0621250343 0.0020042197 0.0025803109
0.0647053453 0.0015484034 0.0027113759
0.0674167212 0.0011806765 0.0028559953
0.0702727165 0.0008873544 0.0030163351
0.0732890516 0.0006562964 0.0031950397
0.0764840913 0.0004768064 0.0033953700
0.0798794613 0.0003395347 0.0036213910
0.0835008523 0.0002363800 0.0038782313
0.0873790835 0.0001603924 0.0041724485
0.0915515320 0.0001056769 0.0045125542
0.0960640863 0.0000672988 0.0049097836
0.1009738699 0.0000411895 0.0053792529
0.1063531228 0.0000240536 0.0059417493
0.1122948721 0.0000132787 0.0066265862
0.1189214583 0.0000068455 0.0074763300
0.1263977883 0.0000032418 0.0085549642
0.1349527525 0.0000013785 0.0099627146
0.1449154671 0.0000005094 0.0118646316
0.1567800986 0.0000001558 0.0145498180
0.1713299167 0.0000000366 0.0185654608
0.1898953774 0.0000000059 0.0250541844
0.2149495618 0.0000000006 0.0367072144
0.2516567763 0.0000000000 0.0604806966
0.3121374729 0.0000000001 0.1049144475
0.4170519204 0.0000000275 0.1339606306
0.4438440465 0.0000000023 0.0267921261
0.4706361726 0.0000000002 0.0443313874
0.5149675600 0.0000000000 0.0755922413
0.5905598013 0.0000000005 0.1159723778
0.6599293445 0.0000000038 0.0693695432
0.7012031685 0.0000000005 0.0412738239
0.7424769924 0.0000000001 0.0628637784
0.8053407708 0.0000000002 0.1002082377
0.9055490084 0.0000000333 0.1047451941
0.9322991507 0.0000000028 0.0267501422
0.9590492929 0.0000000002 0.0426421583
1.0000000000 0.0000000000 0.0426421583
